project,bug_id,tool,detected,rank,mrr,map,duration_seconds,execution_timestamp,comparison_timestamp,cpu_avg_percent,cpu_max_percent,memory_avg_bytes,memory_max_bytes,memory_limit_bytes,network_rx_total_bytes,network_tx_total_bytes,disk_read_total_bytes,disk_write_total_bytes,top@1,top@5,top@10
JacksonDatabind,45,boostnsift,Yes,3.0,0.333333,0.333333,30.948473930358887,2025-11-18T17:14:31.618034,2025-12-22T16:51:35.010325,43.42166666666666,218.34,719099439.5,1007681536.0,134861973094.0,876.0,0.0,0.0,0.0,0,1,1
JacksonDatabind,45,buglocator,Yes,26.0,0.038462,0.038462,37.57259154319763,2025-12-17T14:51:19.876280,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,45,locus,Yes,44.0,0.022727,0.022727,54.70319437980652,2025-11-22T11:11:31.422743,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,46,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,46,boostnsift,Yes,8.0,0.125,0.125,25.69878649711609,2025-11-18T17:14:47.796080,2025-12-22T16:51:35.010325,92.6375,348.58,248339496.5,609327513.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,1
JacksonDatabind,46,buglocator,Yes,12.0,0.083333,0.083333,40.23803925514221,2025-12-17T14:52:00.114372,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,46,locus,Yes,23.0,0.043478,0.043478,54.03182792663574,2025-11-22T11:12:18.813083,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,47,FlexFL,Yes,1.0,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1
JacksonDatabind,47,boostnsift,Yes,37.0,0.027027,0.027027,26.062551975250244,2025-11-18T17:15:11.679023,2025-12-22T16:51:35.010325,83.71249999999999,269.76,549857525.0,968989081.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,47,buglocator,Yes,7.0,0.142857,0.142857,31.060195207595825,2025-12-17T14:52:31.174620,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,1
JacksonDatabind,47,locus,Yes,5.0,0.2,0.2,56.186763763427734,2025-11-22T11:12:27.628022,2025-12-25T12:38:07.219373,,,,,,,,,,0,1,1
JacksonDatabind,48,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,48,boostnsift,Yes,6.0,0.166667,0.166667,24.577969789505005,2025-11-18T17:15:31.558748,2025-12-22T16:51:35.010325,103.7975,226.42,617800007.25,1048576000.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,1
JacksonDatabind,48,buglocator,Yes,31.0,0.032258,0.032258,28.921875,2025-12-17T14:53:00.096547,2025-12-22T16:51:35.010325,,,,,,,,,,0,0,0
JacksonDatabind,48,locus,Yes,21.0,0.047619,0.047619,54.00767159461975,2025-11-22T11:13:12.828260,2025-12-25T12:38:07.219373,,,,,,,,,,0,0,0
JacksonDatabind,49,FlexFL,No,,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
JacksonDatabind,49,boostnsift,Yes,17.0,0.058824,0.058824,21.7029070854187,2025-11-18T17:15:48.197479,2025-12-22T16:51:35.010325,58.07,141.62,341972090.3333333,638163353.0,134861973094.0,806.0,0.0,0.0,0.0,0,0,0
JacksonDatabind,49,buglocator,Yes,2.0,0.5,0.5,18.34806203842163,2025-12-17T14:53:18.444665,2025-12-22T16:51:35.010325,,,,,,,,,,0,1,1
